regime,test_battery,model,feature,mean_abs_shap
within_CALCE,CS2_36,XGBoost,discharge_time_s,27.18231964111328
within_CALCE,CS2_36,XGBoost,avg_voltage,1.2039414644241333
within_CALCE,CS2_36,XGBoost,voltage_drop,8.629156112670898
within_CALCE,CS2_36,XGBoost,avg_current,5.787715435028076
within_CALCE,CS2_37,ElasticNet,global_cycle,49.40988137273604
within_CALCE,CS2_37,ElasticNet,discharge_time_s,43.207023650519396
within_CALCE,CS2_37,ElasticNet,avg_voltage,5.7248923128661255
within_CALCE,CS2_37,ElasticNet,voltage_drop,35.089969449071894
within_CALCE,CS2_37,ElasticNet,avg_current,2.069603117240246
within_CALCE,CS2_37,RandomForest,global_cycle,33.98151116791236
within_CALCE,CS2_37,RandomForest,discharge_time_s,97.74149375717435
within_CALCE,CS2_37,RandomForest,avg_voltage,18.57925419428175
within_CALCE,CS2_37,RandomForest,voltage_drop,15.947454154472018
within_CALCE,CS2_37,RandomForest,avg_current,4.162398997349945
within_CALCE,CS2_37,XGBoost,global_cycle,69.12557983398438
within_CALCE,CS2_37,XGBoost,discharge_time_s,56.83415985107422
within_CALCE,CS2_37,XGBoost,avg_voltage,12.25196647644043
within_CALCE,CS2_37,XGBoost,voltage_drop,35.3925666809082
within_CALCE,CS2_37,XGBoost,avg_current,2.9697742462158203
within_CALCE,CS2_38,ElasticNet,global_cycle,81.41456282530363
within_CALCE,CS2_38,ElasticNet,discharge_time_s,20.79701216035095
within_CALCE,CS2_38,ElasticNet,avg_voltage,2.543233124772975
within_CALCE,CS2_38,ElasticNet,voltage_drop,4.082743528064405
within_CALCE,CS2_38,ElasticNet,avg_current,1.1720871108057838
within_CALCE,CS2_38,RandomForest,global_cycle,114.98901524803598
within_CALCE,CS2_38,RandomForest,discharge_time_s,27.317637859609693
within_CALCE,CS2_38,RandomForest,avg_voltage,5.53408168159327
within_CALCE,CS2_38,RandomForest,voltage_drop,4.183818460991034
within_CALCE,CS2_38,RandomForest,avg_current,1.2556870296027243
within_CALCE,CS2_38,XGBoost,global_cycle,101.19427490234375
within_CALCE,CS2_38,XGBoost,discharge_time_s,31.066566467285156
within_CALCE,CS2_38,XGBoost,avg_voltage,5.650352954864502
within_CALCE,CS2_38,XGBoost,voltage_drop,4.233345985412598
within_CALCE,CS2_38,XGBoost,avg_current,1.8298835754394531
NASA_to_CALCE,CS2_35,ElasticNet,global_cycle,43.14206388457574
NASA_to_CALCE,CS2_35,ElasticNet,discharge_time_s,5.891558470157324
NASA_to_CALCE,CS2_35,ElasticNet,avg_voltage,155.22304816114388
NASA_to_CALCE,CS2_35,ElasticNet,voltage_drop,1.7221332878375826
NASA_to_CALCE,CS2_35,ElasticNet,avg_current,0.6698737303528308
NASA_to_CALCE,CS2_35,RandomForest,global_cycle,7.988132745687704
