regime,test_battery,model,n_test,MAE_cycles,R2,target_coverage,std_coverage,std_width,adaptive_coverage,adaptive_width
within_NASA,B0005,ElasticNet,168,35.27881527341089,0.40926963569066865,0.9,0.10714285714285714,37.533969234979,0.07738095238095238,30.71638312751273
within_NASA,B0005,RandomForest,168,13.618764644335561,0.8416441207870624,0.9,0.4583333333333333,14.440902397602372,0.4583333333333333,14.186469584843849
within_NASA,B0005,XGBoost,168,17.894033432006836,0.7961266040802002,0.9,0.18452380952380953,13.052895545959473,0.1130952380952381,8.37380700910922
within_NASA,B0006,ElasticNet,108,35.7400697674207,-0.5930743313453664,0.9,0.018518518518518517,25.646510453480225,0.0,18.572225598164614
within_NASA,B0006,RandomForest,108,45.469917919791,-1.3515214960677402,0.9,0.0,13.154184824434823,0.009259259259259259,10.933831890962601
within_NASA,B0006,XGBoost,108,42.96774673461914,-1.1012940406799316,0.9,0.0,8.40557861328125,0.0,8.451707481565325
within_NASA,B0007,ElasticNet,168,42.36240215873576,0.13731339215847949,0.9,0.08333333333333333,46.43872553791874,0.03571428571428571,41.650224431278176
within_NASA,B0007,RandomForest,168,17.557092112589835,0.7120609173042378,0.9,0.4583333333333333,15.386956183507978,0.5059523809523809,19.532157582905878
within_NASA,B0007,XGBoost,168,20.066896438598633,0.6808812618255615,0.9,0.35714285714285715,11.660675048828125,0.3273809523809524,13.960387461324151
within_NASA,B0018,ElasticNet,132,6.0845770473569445,0.9538787010708825,0.9,1.0,57.962111540024026,0.8409090909090909,40.75080090839812
within_NASA,B0018,RandomForest,132,11.568757033816832,0.8714799546410676,0.9,0.3939393939393939,19.445776631864874,0.30303030303030304,11.900427987121944
within_NASA,B0018,XGBoost,132,9.804027557373047,0.9011924266815186,0.9,0.5075757575757576,20.245590209960938,0.45454545454545453,13.140063079865067
within_CALCE,CS2_35,ElasticNet,428,46.656559952391675,0.8245365476043026,0.9,0.9976635514018691,249.30665657491772,0.6121495327102804,179.9368621832328
within_CALCE,CS2_35,RandomForest,428,63.50398217910051,0.6912028560535479,0.9,0.4602803738317757,138.77488029349578,0.3364485981308411,85.55717895193916
within_CALCE,CS2_35,XGBoost,428,47.75351333618164,0.8111832141876221,0.9,0.39485981308411217,74.78102111816406,0.2616822429906542,51.935549385245906
within_CALCE,CS2_36,ElasticNet,324,141.10251888816956,-1.117659255133879,0.9,0.0,158.29436179485515,0.0,92.51529411264012
within_CALCE,CS2_36,RandomForest,324,138.47779904848426,-1.079815450687632,0.9,0.0,83.73476424271121,0.0,61.30795096972755
within_CALCE,CS2_36,XGBoost,324,141.2755889892578,-1.1514761447906494,0.9,0.0,34.658721923828125,0.0,33.74320111570818
within_CALCE,CS2_37,ElasticNet,448,75.39318218211996,0.47175995066511356,0.9,0.8660714285714286,230.74451962440799,0.6607142857142857,176.1066765211276
within_CALCE,CS2_37,RandomForest,448,57.98861558912563,0.7070746411919008,0.9,0.5848214285714286,117.61766644982671,0.5379464285714286,107.2136562322585
within_CALCE,CS2_37,XGBoost,448,49.32114028930664,0.7978102564811707,0.9,0.35714285714285715,56.865997314453125,0.34598214285714285,60.424812027620696
within_CALCE,CS2_38,ElasticNet,519,101.86349380288496,0.5062811079775977,0.9,0.5183044315992292,191.4652620905972,0.02119460500963391,100.83630554040106
within_CALCE,CS2_38,RandomForest,519,101.61201740951486,0.5236337611436185,0.9,0.08863198458574181,93.01612865348739,0.025048169556840076,43.13153595942547
within_CALCE,CS2_38,XGBoost,519,95.16825103759766,0.5937273502349854,0.9,0.05202312138728324,54.956298828125,0.011560693641618497,33.55995319242546
NASA_to_CALCE,CS2_35,ElasticNet,428,80.4833129369334,0.45917553930918054,0.9,0.1939252336448598,56.663069759958155,0.13317757009345793,39.07069973991587
NASA_to_CALCE,CS2_35,RandomForest,428,133.9891213883882,-0.5689134519441703,0.9,0.04672897196261682,19.720364405424707,0.04672897196261682,18.128030538829652
NASA_to_CALCE,CS2_35,XGBoost,428,136.17539978027344,-0.6053363084793091,0.9,0.035046728971962614,14.37744140625,0.018691588785046728,10.910449021335095
NASA_to_CALCE,CS2_36,ElasticNet,324,65.08759249550911,0.36274726290391635,0.9,0.24074074074074073,56.663069759958155,0.2191358024691358,45.73130623067347
NASA_to_CALCE,CS2_36,RandomForest,324,85.3700034076065,-0.052711863341380116,0.9,0.06172839506172839,19.72036440542471,0.06790123456790123,17.178726354430083
NASA_to_CALCE,CS2_36,XGBoost,324,82.98579406738281,-0.0012407302856445312,0.9,0.043209876543209874,14.37744140625,0.030864197530864196,13.42424057810938
NASA_to_CALCE,CS2_37,ElasticNet,448,88.3399780746208,0.38360229340568686,0.9,0.16964285714285715,56.66306975995815,0.11607142857142858,32.853519235453525
NASA_to_CALCE,CS2_37,RandomForest,448,144.716488958283,-0.6872594248184871,0.9,0.04241071428571429,19.7203644054247,0.04241071428571429,18.031563935233777
NASA_to_CALCE,CS2_37,XGBoost,448,147.3470001220703,-0.733852744102478,0.9,0.029017857142857144,14.37744140625,0.029017857142857144,11.253997582405693
NASA_to_CALCE,CS2_38,ElasticNet,519,119.84639771008385,0.12878175271040215,0.9,0.15028901734104047,56.66306975995815,0.08863198458574181,37.73931338951355
NASA_to_CALCE,CS2_38,RandomForest,519,179.99203642622874,-0.9336364089025593,0.9,0.038535645472061654,19.72036440542471,0.038535645472061654,18.605608367470328
NASA_to_CALCE,CS2_38,XGBoost,519,184.8429412841797,-1.0103859901428223,0.9,0.028901734104046242,14.37744140625,0.015414258188824663,11.364484066199173
CALCE_to_NASA,B0005,ElasticNet,168,385.1824434889293,-62.58756048058393,0.9,0.0,235.1698740163561,0.0,144.84467286839873
CALCE_to_NASA,B0005,RandomForest,168,283.7081296975162,-33.79150491123656,0.9,0.0,118.02235519556825,0.0,75.98561647773698
CALCE_to_NASA,B0005,XGBoost,168,280.6871032714844,-32.95864486694336,0.9,0.0,56.967620849609375,0.0,58.36934341810127
CALCE_to_NASA,B0006,ElasticNet,108,456.4451080270417,-217.87730035140808,0.9,0.0,235.169874016356,0.0,141.5845163182946
CALCE_to_NASA,B0006,RandomForest,108,336.60767649972104,-117.12517441124842,0.9,0.0,118.02235519556824,0.0,76.9329122309527
CALCE_to_NASA,B0006,XGBoost,108,344.7408752441406,-122.39376831054688,0.9,0.0,56.967620849609375,0.0,62.871818524523526
CALCE_to_NASA,B0007,ElasticNet,168,311.47549110408096,-40.724289015537686,0.9,0.0,235.16987401635603,0.0,134.26691123010028
CALCE_to_NASA,B0007,RandomForest,168,279.68846916868705,-32.681197625791704,0.9,0.0,118.02235519556825,0.0,76.39166012896726
CALCE_to_NASA,B0007,XGBoost,168,275.802490234375,-31.716724395751953,0.9,0.0,56.967620849609375,0.0,60.03809397004869
CALCE_to_NASA,B0018,ElasticNet,132,398.1818019579574,-108.47773428532427,0.9,0.0,235.16987401635606,0.0,139.1948082867694
CALCE_to_NASA,B0018,RandomForest,132,331.00124491591146,-75.03648372422585,0.9,0.0,118.02235519556824,0.0,72.40946359415852
CALCE_to_NASA,B0018,XGBoost,132,319.6020812988281,-70.03321838378906,0.9,0.0,56.967620849609375,0.0,58.54305187689105
